Borough,Violence_2012_13,theft_2012_13,predicted_clusters,level
Barking and Dagenham,3761,6242,1,low
Barnet,4077,10458,2,mid
Bexley,2842,4406,1,low
Brent,6193,8193,2,mid
Bromley,4100,8018,2,mid
Camden,5030,17767,0,high_both
Croydon,6521,11103,2,mid
Ealing,6939,11306,2,mid
Enfield,4340,8572,2,mid
Greenwich,5290,8148,2,mid
Hackney,5699,13064,0,high_both
Hammersmith and Fulham,4269,10534,2,mid
Haringey,4701,9687,2,mid
Harrow,2873,4489,1,low
Havering,3317,6454,1,low
Hillingdon,4870,7471,2,mid
Hounslow,5217,8713,2,mid
Islington,5394,13942,0,high_both
Kensington and Chelsea,2698,12065,2,mid
Kingston upon Thames,2212,4333,1,low
Lambeth,6827,15292,0,high_both
Lewisham,5765,8760,2,mid
Merton,2541,5445,1,low
Newham,6458,13452,0,high_both
Redbridge,4124,9028,2,mid
Richmond upon Thames,2052,4920,1,low
Southwark,6502,13774,0,high_both
Sutton,2569,4385,1,low
Tower Hamlets,6115,11154,2,mid
Waltham Forest,4982,10323,2,mid
Wandsworth,4115,12055,2,mid
